"Scan Date","Scan Method","Scan Source","Visibility","Submitter","Scan URL","Task URL","Task Domain","Task Apex Domain","Task Tags","Page Country","Page IP","Page PTR Record","Page ASN","Page AS Name","Page Server","Page URL","Page Domain","Page Apex Domain","Malicious","Brands","Labels"
"2025-07-03T16:36:09.820Z","api","","public","fi","https://urlscan.io/result/0197d125-1cda-715b-82b8-a695a73b8963/","http://conexaodofuturosaquarema.org.br/?o=4701145840103&channel=a5f900&from=product.php%3Fid%3D458401-11384%26name%3DFlexon+%E3%83%A1%E3%82%AC%E3%83%8D+E+1150+002+%E3%83%9E%E3%83%83%E3%83%88+%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF+-+%E9%8A%85%2C+%E3%83%9E%E3%83%83%E3%83%88%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF-%E9%8A%85","conexaodofuturosaquarema.org.br","conexaodofuturosaquarema.org.br","@phish_report","BR","91.108.124.98","srv565246.hstgr.cloud","AS47583","AS-HOSTINGER Hostinger International Limited, CY","nginx/1.27.0","https://conexaodofuturosaquarema.org.br/?o=4701145840103&channel=a5f900&from=product.php%3Fid%3D458401-11384%26name%3DFlexon%20%E3%83%A1%E3%82%AC%E3%83%8D%20E%201150%20002%20%E3%83%9E%E3%83%83%E3%83%88%20%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF%20-%20%E9%8A%85%2C%20%E3%83%9E%E3%83%83%E3%83%88%E3%83%96%E3%83%A9%E3%83%83%E3%82%AF-%E9%8A%85","conexaodofuturosaquarema.org.br","conexaodofuturosaquarema.org.br","false","",""
"2025-07-03T00:08:50.285Z","api","","public","us","https://urlscan.io/result/0197cd9d-2ce3-779e-ae87-d1868c53710e/","http://celvmarilia.org.br/","celvmarilia.org.br","celvmarilia.org.br","","US","192.185.210.139","br176-ip28.hostgator.com.br","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://celvmarilia.org.br/","celvmarilia.org.br","celvmarilia.org.br","false","",""
"2025-07-02T10:49:51.437Z","api","","public","fi","https://urlscan.io/result/0197cac1-b07e-7588-bc55-2f20f2015f94/","https://oferta.idealnetfibra.com.br/2025/02/23/best-10-casino-deposit-bonus-ten-real-money-online-casinos-gambling-sites-united-states-2025/","oferta.idealnetfibra.com.br","idealnetfibra.com.br","@phish_report","US","162.240.171.56","vps-12940958.idealnetfibra.com.br","AS46606","UNIFIEDLAYER-AS-1, US","Apache","https://oferta.idealnetfibra.com.br/2025/02/23/best-10-casino-deposit-bonus-ten-real-money-online-casinos-gambling-sites-united-states-2025/","oferta.idealnetfibra.com.br","idealnetfibra.com.br","false","",""
"2025-07-01T09:57:54.509Z","api","","public","at","https://urlscan.io/result/0197c56b-baca-75ff-9d29-def4aceded73/","http://kimera.com.co/","kimera.com.co","kimera.com.co","","BR","2a02:4780:13:903:0:1555:227b:1","","AS47583","AS-HOSTINGER Hostinger International Limited, CY","LiteSpeed","https://kimera.com.co/","kimera.com.co","kimera.com.co","false","",""
"2025-06-30T00:22:13.751Z","api","","public","us","https://urlscan.io/result/0197be35-a0e2-711c-a98f-afa10384feab/","https://persianasjottaflex.com.br/","persianasjottaflex.com.br","persianasjottaflex.com.br","","BR","177.154.191.130","br.chew3070.com.br","AS53038","IDC19 - WDI SOLUCOES EM TEC INFORMACAO LTDA, BR","","https://persianasjottaflex.com.br/","persianasjottaflex.com.br","persianasjottaflex.com.br","false","",""
"2025-06-28T10:59:29.732Z","api","","public","nl","https://urlscan.io/result/0197b631-0ed4-7668-afe7-4ff8ca82c6f7/","http://clinicavidasalud.cl/","clinicavidasalud.cl","clinicavidasalud.cl","","US","142.171.253.125","wagnerdufey.hechile.com","AS35916","MULTA-ASN1, US","LiteSpeed","https://www.clinicavidasalud.cl/","www.clinicavidasalud.cl","clinicavidasalud.cl","false","","visual.person"
"2025-06-28T01:45:04.758Z","api","","unlisted","us","https://urlscan.io/result/0197b435-6a51-74d6-af40-b905e7cd0b05/","https://planetapsf.com.br/","planetapsf.com.br","planetapsf.com.br","","US","108.179.193.134","108-179-193-134.unifiedlayer.com","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://www.planetapsf.com.br/","www.planetapsf.com.br","planetapsf.com.br","false","","visual.person"
"2025-06-26T05:47:26.446Z","api","","unlisted","us","https://urlscan.io/result/0197aac6-a5fd-73b4-a3b0-0474ace3b67c/","https://iop.med.br/exames-3","iop.med.br","iop.med.br","","BR","177.55.111.8","","AS53057","RedeHost Internet Ltda., BR","","https://iop.med.br/exames-3/","iop.med.br","iop.med.br","false","",""
"2025-06-26T04:06:18.023Z","api","","public","fi","https://urlscan.io/result/0197aa69-f158-7785-aecf-cda2cab4132a/","https://aprendizagemecia.com.br/psicanalise/","aprendizagemecia.com.br","aprendizagemecia.com.br","@phish_report","US","85.239.234.65","vmi1901222.contaboserver.net","AS40021","NL-811-40021, US","Apache","https://aprendizagemecia.com.br/psicanalise/","aprendizagemecia.com.br","aprendizagemecia.com.br","false","","visual.person"
"2025-06-26T02:16:44.070Z","api","","unlisted","us","https://urlscan.io/result/0197aa05-7c2e-72a9-9de4-b7ca3de8e582/","https://leiloescostaesilva.com.br/","leiloescostaesilva.com.br","leiloescostaesilva.com.br","","US","192.185.177.26","br192-ip05.hostgator.com.br","AS19871","NETWORK-SOLUTIONS-HOSTING, US","Apache","https://leiloescostaesilva.com.br/","leiloescostaesilva.com.br","leiloescostaesilva.com.br","false","",""
